,786_0,A498,A549,ACHN,BT_549,CAKI_1,CCRF_CEM,COLO205,DU_145,EKVX,HCC_2998,HCT_116,HCT_15,HL_60,HOP_62,HOP_92,HS578T,HT29,IGROV1,KM12,K_562,LOXIMVI,M14,MALME_3M,MCF7,MDA_MB_231,MDA_MB_435,MDA_N,MOLT_4,NCI_ADR_RES,NCI_H226,NCI_H23,NCI_H322M,NCI_H460,NCI_H522,OVCAR_3,OVCAR_4,OVCAR_5,OVCAR_8,PC_3,RPMI_8226,RXF_393,SF_268,SF_295,SK_MEL_2,SK_MEL_28,SK_MEL_5,SK_OV_3,SN12C,SNB_19,SNB_75,SR,SW_620,T47D,TK_10,U251,UACC_257,UACC_62,UO_31
132313,1.0,0.0,,1.0,,,1.0,,1.0,,,,,1.0,,,0.0,,0.0,,,1.0,,,,,,,1.0,,0.0,,0.0,1.0,,,0.0,,,,,0.0,,1.0,,,,,,,,1.0,,0.0,,,,,
132483,1.0,,,,,,,,,,,1.0,1.0,,,0.0,0.0,,,,,1.0,,,,,,,1.0,,0.0,,,1.0,,,,,1.0,1.0,,,,0.0,,,,,0.0,,0.0,,1.0,,,,,1.0,
134033,,0.0,,1.0,,,,,,,,1.0,1.0,0.0,,,0.0,,0.0,,,1.0,,0.0,,,,,,,,,0.0,,0.0,,,,,0.0,,,,0.0,,,,,,,0.0,1.0,1.0,,,,,,
134679,,,,1.0,,,,,1.0,0.0,,,,1.0,,0.0,,,0.0,,,1.0,,,1.0,0.0,,,,,,,0.0,1.0,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,0.0,,,,
134727,,,,1.0,0.0,,0.0,,,,,,0.0,,,,,,,,,1.0,,,,0.0,,0.0,,,,1.0,,1.0,,,,0.0,,,,,,,,,1.0,1.0,,,,0.0,,,0.0,1.0,,1.0,
135758,1.0,,,1.0,,,1.0,,,0.0,,,,1.0,,0.0,0.0,,,,,,,,,,,,1.0,,,,0.0,1.0,,,,,,,,,,,,,,,,0.0,,1.0,,0.0,0.0,,,,
138783,,,,,,,1.0,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,1.0,,0.0,,1.0,,0.0,,,1.0,,1.0,,,,,,0.0,,0.0,,0.0,,,,,,,,,0.0,,,,
139105,,,1.0,,0.0,,,,1.0,0.0,,1.0,,,,0.0,0.0,,,,1.0,1.0,,,1.0,,1.0,,1.0,0.0,0.0,,,1.0,,,0.0,,,,,0.0,,,0.0,1.0,,,,0.0,0.0,1.0,,,,,,,
141540,,,,,1.0,,1.0,,1.0,,,,,1.0,,0.0,,0.0,0.0,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,,,,0.0,,1.0,,,,,,,,,,,,1.0,,1.0,,,0.0,0.0,0.0
141549,,,1.0,1.0,,,1.0,,1.0,0.0,,,,,,0.0,0.0,,,,,,,,1.0,0.0,,,1.0,0.0,,,0.0,1.0,,,0.0,0.0,,,,,,1.0,0.0,0.0,,,,,,1.0,,,,,0.0,,
141633,,,,,0.0,,1.0,,,0.0,,,,1.0,,,0.0,,,,1.0,,,,1.0,0.0,,0.0,1.0,0.0,,,0.0,1.0,,,0.0,0.0,,0.0,1.0,,,,,,,,,,,1.0,,,0.0,1.0,,,
143095,1.0,,1.0,,0.0,,1.0,,,0.0,,1.0,1.0,,0.0,,,1.0,,,1.0,1.0,,0.0,,0.0,,,1.0,,,,,1.0,,,,0.0,1.0,,,,,,,0.0,,,,0.0,,1.0,1.0,,0.0,,0.0,,
145668,,,1.0,,,0.0,1.0,,0.0,0.0,,0.0,1.0,,,,0.0,,,0.0,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
148958,,,,0.0,,,,,1.0,,1.0,1.0,,,,,0.0,,0.0,,,,,,1.0,,1.0,1.0,,,0.0,,,1.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,1.0,,,0.0,,,,,,,,,
153353,,,1.0,,,0.0,,,,0.0,,1.0,1.0,,,,,,1.0,1.0,,1.0,,0.0,1.0,1.0,,,,,0.0,,,1.0,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,,,0.0,0.0,1.0,,,
153858,,,,,,0.0,,,,0.0,,1.0,,1.0,0.0,0.0,,,,1.0,,1.0,,0.0,,,1.0,1.0,,,,,,,1.0,,0.0,0.0,,,,0.0,,,0.0,0.0,1.0,0.0,,,0.0,1.0,,1.0,0.0,1.0,0.0,,0.0
154948,1.0,,1.0,1.0,0.0,,1.0,,,,,,,,,0.0,0.0,,,,,1.0,,,1.0,,,,1.0,,,,,1.0,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,
156303,,,1.0,1.0,,,1.0,,1.0,0.0,,,,,,0.0,0.0,,,,,,,,1.0,0.0,,,1.0,0.0,,,0.0,1.0,,,0.0,0.0,,,0.0,,,1.0,0.0,0.0,,,,,,1.0,,,,,0.0,,
157035,,0.0,0.0,,,,1.0,,,,,1.0,,1.0,0.0,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,0.0,,,1.0,,,,,,,0.0,,0.0,0.0,,,,,0.0,,,0.0
163062,,,,,,,,,,0.0,,1.0,,,,0.0,,,,,,1.0,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,
163501,,0.0,,,0.0,,,,,,,1.0,1.0,,0.0,0.0,,1.0,,1.0,,,,,1.0,0.0,,,,,,,,1.0,,0.0,0.0,,,,,0.0,,,0.0,,,,,,,1.0,,,,,,,
164011,1.0,,,1.0,,0.0,1.0,,,0.0,,1.0,,1.0,,0.0,,,,,,1.0,,,1.0,,,,1.0,0.0,,,,1.0,,,0.0,0.0,,,,,,,,,,0.0,,,,1.0,,,0.0,,,,0.0
167780,1.0,0.0,,,,,1.0,,,0.0,,,,1.0,,,,,0.0,,,,,,,,,1.0,1.0,0.0,0.0,,0.0,,1.0,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,1.0,
169780,,,1.0,,,0.0,1.0,1.0,,,,,1.0,,,0.0,0.0,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,0.0,,,,,,,,0.0,,0.0,,,,,1.0,,,,0.0,,
